School name,2023 Enrolment Pressure (EPI),School Type,Suburb,LGA,Education Sector,Estimated no. Enrolments,Full Capacity (100% EPI),Spare Capacity,Note
Mount View Primary School,88%,Primary,Glen Waverley,Monash (C),Government,972,1105,133,
Gaayip-Yagila Primary School,88%,Primary,Mickleham,Hume (C),Government,1027,1167,140,
John Henry Primary School,88%,Primary,Pakenham,Cardinia (S),Government,1059,1204,144,
Kew High School,88%,Secondary,Kew East,Boroondara (C),Government,1036,1177,141,
Oakleigh South Primary School,88%,Primary,Oakleigh South,Monash (C),Government,1053,1197,144,
Barton Primary School,88%,Primary,Cranbourne West,Casey (C),Government,1044,1187,142,
Doncaster Secondary College,88%,Secondary,Doncaster,Manningham (C),Government,1244,1413,170,
Drouin Secondary College,88%,Secondary,Drouin,Baw Baw (S),Government,1277,1451,174,
Belmont High School,88%,Secondary,Belmont,Greater Geelong (C),Government,1237,1406,169,
Strathmore Secondary College,88%,Secondary,Strathmore,Moonee Valley (C),Government,1949,2215,266,
Alvie Primary School,87%,Primary,Alvie,Colac-Otway (S),Government,65,75,10,
Newhaven Primary School,87%,Primary,Newhaven,Bass Coast (S),Government,152,175,23,
Campbells Creek Primary School,87%,Primary,Campbells Creek,Mount Alexander (S),Government,165,190,25,
Diamond Creek Primary School,87%,Primary,Diamond Creek,Nillumbik (S),Government,261,300,39,
Broadmeadows Primary School,87%,Primary,Broadmeadows,Hume (C),Government,261,300,39,
Malvern Valley Primary School,87%,Primary,Malvern East,Stonnington (C),Government,263,302,39,
Ripponlea Primary School,87%,Primary,St Kilda East,Glen Eira (C),Government,284,326,42,
Apollo Bay P-12 College,87%,Pri/Sec,Apollo Bay,Colac-Otway (S),Government,306,351,46,
Thomastown East Primary School,87%,Primary,Thomastown,Whittlesea (C),Government,312,359,47,
Balnarring Primary School,87%,Primary,Balnarring,Mornington Peninsula (S),Government,393,452,59,
Cheltenham East Primary School,87%,Primary,Cheltenham,Kingston (C),Government,437,502,65,
Tyabb Primary School,87%,Primary,Tyabb,Mornington Peninsula (S),Government,415,477,62,
Woori Yallock Primary School,87%,Primary,Woori Yallock,Yarra Ranges (S),Government,412,474,62,
Dandenong Primary School,87%,Primary,Dandenong,Greater Dandenong (C),Government,399,459,60,
Kismet Park Primary School,87%,Primary,Sunbury,Hume (C),Government,480,552,72,
Sandringham East Primary School,87%,Primary,Sandringham,Bayside (C),Government,500,575,75,
Gisborne Primary School,87%,Primary,Gisborne,Macedon Ranges (S),Government,521,599,78,
Surfside Primary School,87%,Primary,Ocean Grove,Greater Geelong (C),Government,523,601,78,
Coburg North Primary School,87%,Primary,Coburg,Moreland (C),Government,563,647,84,
Glen Katherine Primary School,87%,Primary,Eltham North,Banyule (C),Government,564,648,84,
Carnegie Primary School,87%,Primary,Carnegie,Glen Eira (C),Government,588,675,88,
Wallarano Primary School,87%,Primary,Noble Park,Greater Dandenong (C),Government,635,730,95,
Orchard Grove Primary School,87%,Primary,Blackburn South,Whitehorse (C),Government,659,757,98,
Pakenham Lakeside Primary School,87%,Primary,Pakenham,Cardinia (S),Government,780,897,117,
Croydon Hills Primary School,87%,Primary,Croydon Hills,Maroondah (C),Government,721,828,108,
Mount Clear College,87%,Secondary,Mount Clear,Ballarat (C),Government,1070,1230,160,
Oatlands Primary School,87%,Primary,Narre Warren,Casey (C),Government,1090,1253,163,
McClelland Secondary College,87%,Secondary,Frankston,Frankston (C),Government,1067,1226,159,
Bellarine Secondary College,87%,Secondary,Drysdale,Greater Geelong (C),Government,1187,1364,177,
Wyndham Vale Primary School,87%,Primary,Wyndham Vale,Wyndham (C),Government,1311,1507,196,
Sunshine College,87%,Secondary,Sunshine West,Brimbank (C),Government,1175,1351,176,
Gladstone Park Secondary College,87%,Secondary,Gladstone Park,Hume (C),Government,1465,1684,219,
Wellington Secondary College,87%,Secondary,Mulgrave,Monash (C),Government,1671,1921,250,
Timor Primary School,86%,Primary,Timor,Central Goldfields (S),Government,43,50,7,
Tate Street Primary School Geelong,86%,Primary,Geelong East,Greater Geelong (C),Government,172,199,28,
Moolap Primary School,86%,Primary,Moolap,Greater Geelong (C),Government,214,249,35,
Lang Lang Primary School,86%,Primary,Lang Lang,Cardinia (S),Government,193,224,31,
Portland Primary School,86%,Primary,Portland,Glenelg (S),Government,236,274,38,
Stawell Primary School,86%,Primary,Stawell,Northern Grampians (S),Government,281,327,46,
Specimen Hill Primary School,86%,Primary,Golden Square,Greater Bendigo (C),Government,280,326,46,
Cockatoo Primary School,86%,Primary,Cockatoo,Cardinia (S),Government,302,351,49,
Kangaroo Flat Primary School,86%,Primary,Kangaroo Flat,Greater Bendigo (C),Government,302,351,49,
Pleasant Street Primary School (Ballarat),86%,Primary,Lake Wendouree,Ballarat (C),Government,344,400,56,
Melrose Primary School,86%,Primary,West Wodonga,Wodonga (C),Government,366,426,60,
Park Orchards Primary School,86%,Primary,Park Orchards,Manningham (C),Government,368,427,60,
Nichols Point Primary School,86%,Primary,Nichols Point,Mildura (RC),Government,407,473,66,
Aberfeldie Primary School,86%,Primary,Essendon,Moonee Valley (C),Government,386,449,63,
Wyndham Park Primary School,86%,Primary,Werribee,Wyndham (C),Government,391,454,64,
Hawthorn West Primary School,86%,Primary,Hawthorn,Boroondara (C),Government,473,550,77,
Springvale Rise Primary School,86%,Primary,Springvale,Greater Dandenong (C),Government,446,519,73,
Mirripoa Primary School,86%,Primary,Mount Duneed,Greater Geelong (C),Government,393,457,64,
Mount Waverley North Primary School,86%,Primary,Mount Waverley,Monash (C),Government,429,499,70,
Heathmont East Primary School,86%,Primary,Heathmont,Maroondah (C),Government,580,674,94,
The Basin Primary School,86%,Primary,The Basin,Knox (C),Government,646,751,105,
Viewbank Primary School,86%,Primary,Viewbank,Banyule (C),Government,644,749,105,
Parkdale Primary School,86%,Primary,Parkdale,Kingston (C),Government,643,748,105,
Birmingham Primary School,86%,Primary,Mount Evelyn,Yarra Ranges (S),Government,669,778,109,
Plenty Parklands Primary School,86%,Primary,Mill Park,Whittlesea (C),Government,714,830,116,
Weeroona College Bendigo,86%,Secondary,Bendigo,Greater Bendigo (C),Government,772,898,126,
Wodonga Primary School,86%,Primary,Wodonga,Wodonga (C),Government,880,1024,143,
Officer Secondary College,86%,Secondary,Officer,Cardinia (S),Government,1016,1182,165,
Montmorency Secondary College,86%,Secondary,Montmorency,Banyule (C),Government,1080,1255,176,
Wantirna College,86%,Secondary,Wantirna,Knox (C),Government,1499,1743,244,
Elisabeth Murdoch College,86%,Secondary,Langwarrin,Frankston (C),Government,1654,1923,269,
Tarneit Rise Primary School,86%,Primary,Tarneit,Wyndham (C),Government,1743,2027,284,
Red Cliffs East Primary School,85%,Primary,Red Cliffs,Mildura (RC),Government,129,152,23,
Tyabb Railway Station Primary School,85%,Primary,Tyabb,Mornington Peninsula (S),Government,148,174,26,
Castlemaine Primary School,85%,Primary,Castlemaine,Mount Alexander (S),Government,170,200,30,
Warragul Primary School,85%,Primary,Warragul,Baw Baw (S),Government,212,249,37,
Crib Point Primary School,85%,Primary,Crib Point,Mornington Peninsula (S),Government,212,249,37,
Belmont Primary School,85%,Primary,Belmont,Greater Geelong (C),Government,278,327,49,
Bairnsdale West Primary School,85%,Primary,Bairnsdale,East Gippsland (S),Government,338,398,60,
St Kilda Park Primary School,85%,Primary,St Kilda,Port Phillip (C),Government,320,376,56,
Thornbury Primary School,85%,Primary,Thornbury,Darebin (C),Government,386,454,68,
Coburg Primary School,85%,Primary,Coburg,Moreland (C),Government,343,403,60,
Mernda Park Primary School,85%,Primary,Mernda,Whittlesea (C),Government,384,451,68,
Oak Park Primary School,85%,Primary,Oak Park,Moreland (C),Government,387,456,68,
Cheltenham Primary School,85%,Primary,Cheltenham,Bayside (C),Government,402,473,71,
Chelsea Heights Primary School,85%,Primary,Chelsea Heights,Kingston (C),Government,425,500,75,
Chandler Park Primary School,85%,Primary,Keysborough,Greater Dandenong (C),Government,449,528,79,
Clifton Springs Primary School,85%,Primary,Clifton Springs,Greater Geelong (C),Government,444,522,78,
Emerald Primary School,85%,Primary,Emerald,Cardinia (S),Government,489,575,86,
Garrang Wilam Primary School,85%,Primary,Truganina,Wyndham (C),Government,557,655,98,
Richmond High School,85%,Secondary,Richmond,Yarra (C),Government,559,658,99,
Sandringham Primary School,85%,Primary,Sandringham,Bayside (C),Government,508,598,90,
Werribee Primary School,85%,Primary,Werribee,Wyndham (C),Government,536,631,95,
Bridgewood Primary School,85%,Primary,Officer,Cardinia (S),Government,554,652,98,
Maiden Gully Primary School,85%,Primary,Maiden Gully,Greater Bendigo (C),Government,576,677,102,
Delacombe Primary School,85%,Primary,Delacombe,Ballarat (C),Government,515,606,91,
White Hills Primary School,85%,Primary,White Hills,Greater Bendigo (C),Government,576,678,102,
Essendon North Primary School,85%,Primary,Essendon North,Moonee Valley (C),Government,598,704,106,
Dandenong North Primary School,85%,Primary,Dandenong,Greater Dandenong (C),Government,787,926,139,
Cairnlea Park Primary School,85%,Primary,Cairnlea,Brimbank (C),Government,791,931,140,
Lilydale Heights College,85%,Secondary,Lilydale,Yarra Ranges (S),Government,827,973,146,
Lowanna College,85%,Secondary,Newborough,Latrobe (C),Government,977,1149,172,
Strathtulloh Primary School,85%,Secondary,Strathmore,Moonee Valley (C),Government,945,1112,167,
Mordialloc College,85%,Secondary,Mordialloc,Kingston (C),Government,1225,1441,216,
Wyndham Central Secondary College,85%,Secondary,Werribee,Wyndham (C),Government,1408,1656,248,
Alamanda K-9 College,85%,Pri/Sec,Point Cook,Wyndham (C),Government,3321,3907,586,
Murrabit Group School,84%,Primary,Murrabit,Gannawarra (S),Government,42,50,8,
Jindivick Primary School,84%,Primary,Jindivick,Baw Baw (S),Government,63,75,12,
Eaglehawk Primary School,84%,Primary,Eaglehawk,Greater Bendigo (C),Government,147,175,28,
Ararat Primary School,84%,Primary,Ararat,Ararat (RC),Government,253,301,48,
Haddon Primary School,84%,Primary,Haddon,Golden Plains (S),Government,252,300,48,
Grovedale Primary School,84%,Primary,Grovedale,Greater Geelong (C),Government,277,330,53,
Orrvale Primary School,84%,Primary,Orrvale,Greater Shepparton (C),Government,381,454,73,
Burnside Primary School,84%,Primary,Burnside,Melton (C),Government,338,402,64,
Ashley Park Primary School,84%,Primary,Doreen,Whittlesea (C),Government,423,504,81,
Bright P-12 College,84%,Pri/Sec,Bright,Alpine (S),Government,502,597,96,
Red Hill Consolidated School,84%,Primary,Red Hill,Mornington Peninsula (S),Government,543,646,103,
Park Ridge Primary School,84%,Primary,Rowville,Knox (C),Government,545,649,104,
Cranbourne West Primary School,84%,Primary,Cranbourne,Casey (C),Government,612,728,117,
Osborne Primary School,84%,Primary,Mount Martha,Mornington Peninsula (S),Government,612,729,117,
Port Melbourne Primary School,84%,Primary,Port Melbourne,Port Phillip (C),Government,757,901,144,
Crusoe 7-10 Secondary College,84%,Secondary,Kangaroo Flat,Greater Bendigo (C),Government,919,1094,175,
Gisborne Secondary College,84%,Secondary,Gisborne,Macedon Ranges (S),Government,1071,1275,204,
Sunbury College,84%,Secondary,Sunbury,Hume (C),Government,1066,1269,203,
Epping Secondary College,84%,Secondary,Epping,Whittlesea (C),Government,1127,1342,215,
Gleneagles Secondary College,84%,Secondary,Endeavour Hills,Casey (C),Government,1352,1609,257,
Ringwood Secondary College,84%,Secondary,Ringwood,Maroondah (C),Government,1571,1870,299,
Eppalock Primary School,83%,Primary,Axe Creek,Greater Bendigo (C),Government,62,75,13,
Tylden Primary School,83%,Primary,Tylden,Macedon Ranges (S),Government,124,149,25,
Wendouree Primary School,83%,Primary,Wendouree,Ballarat (C),Government,125,151,26,
Wallington Primary School,83%,Primary,Wallington,Greater Geelong (C),Government,207,249,42,
Research Primary School,83%,Primary,Research,Nillumbik (S),Government,186,224,38,
Shepparton East Primary School,83%,Primary,Shepparton East,Greater Shepparton (C),Government,250,301,51,
Mordialloc Beach Primary School,83%,Primary,Mordialloc,Kingston (C),Government,252,304,52,
Sorrento Primary School,83%,Primary,Sorrento,Mornington Peninsula (S),Government,271,327,56,
Ascot Vale Primary School,83%,Primary,Ascot Vale,Moonee Valley (C),Government,270,325,55,
Clarinda Primary School,83%,Primary,Clarinda,Kingston (C),Government,336,405,69,
Rosanna Primary School,83%,Primary,Rosanna,Banyule (C),Government,333,401,68,
Mirboo North Secondary College,83%,Secondary,Mirboo North,South Gippsland (S),Government,372,448,76,
Beaconsfield Upper Primary School,83%,Primary,BEACONSFIELD UPPER,Cardinia (S),Government,352,424,72,
Pascoe Vale North Primary School,83%,Primary,Pascoe Vale,Moreland (C),Government,415,500,85,
Surrey Hills Primary School,83%,Primary,Surrey Hills,Whitehorse (C),Government,393,473,80,
Camelot Rise Primary School,83%,Primary,Glen Waverley,Monash (C),Government,397,479,81,
South Melbourne Primary School,83%,Primary,Southbank,Port Phillip (C),Government,442,533,91,
Warrnambool East Primary School,83%,Primary,Warrnambool,Warrnambool (C),Government,459,553,94,
Clyde Primary School,83%,Primary,Clyde,Casey (C),Government,480,578,98,
William Ruthven Secondary College,83%,Secondary,Reservoir,Darebin (C),Government,438,527,90,
Kew Primary School,83%,Primary,Kew,Boroondara (C),Government,495,596,101,
Williamstown Primary School,83%,Primary,Williamstown,Hobsons Bay (C),Government,500,603,102,
Pascoe Vale Primary School,83%,Primary,Pascoe Vale,Moreland (C),Government,521,628,107,
Cowes Primary School,83%,Primary,Cowes,Bass Coast (S),Government,517,623,106,
Mount Eliza North Primary School,83%,Primary,Mount Eliza,Mornington Peninsula (S),Government,563,679,115,
Rosanna Golf Links Primary School,83%,Primary,Rosanna,Banyule (C),Government,561,676,115,
Bourchier Street Primary School Shepparton,83%,Primary,Shepparton,Greater Shepparton (C),Government,603,727,124,
Beaumaris Primary School,83%,Primary,Beaumaris,Bayside (C),Government,562,677,115,
Hughesdale Primary School,83%,Primary,Hughesdale,Monash (C),Government,562,677,115,
Brandon Park Primary School,83%,Primary,Wheelers Hill,Monash (C),Government,580,699,119,
Monbulk College,83%,Secondary,Monbulk,Yarra Ranges (S),Government,579,698,119,
Gardenvale Primary School,83%,Primary,Brighton East,Bayside (C),Government,620,747,127,
Derrimut Primary School,83%,Primary,Derrimut,Brimbank (C),Government,686,827,141,
Footscray North Primary School,83%,Primary,Footscray,Maribyrnong (C),Government,592,713,121,
Grayling Primary School,83%,Primary,Clyde North,Casey (C),Government,524,631,107,
Edgars Creek Primary School,83%,Primary,Wollert,Whittlesea (C),Government,695,837,142,
Bacchus Marsh Primary School,83%,Primary,Bacchus Marsh,Moorabool (S),Government,793,955,162,
Upwey High School,83%,Secondary,Upwey,Yarra Ranges (S),Government,851,1025,174,
Lynbrook Primary School,83%,Primary,Lynbrook,Casey (C),Government,838,1010,172,
Bannockburn P-12 College,83%,Pri/Sec,Bannockburn,Golden Plains (S),Government,914,1101,187,
Wodonga Middle Years College,83%,Pri/Sec,Wodonga,Wodonga (C),Government,1006,1212,206,
Cranbourne Secondary College,83%,Secondary,Cranbourne,Casey (C),Government,1268,1528,260,
Point Cook Prep - Year 9 College,83%,Pri/Sec,Point Cook,Wyndham (C),Government,1424,1716,292,
Frankston High School,83%,Secondary,Frankston,Frankston (C),Government,1932,2328,396,
Swan Reach Primary School,82%,Primary,Swan Reach,East Gippsland (S),Government,102,125,22,
St Leonards Primary School,82%,Primary,St Leonards,Greater Geelong (C),Catholic,143,174,31,
Winchelsea Primary School,82%,Primary,Winchelsea,Surf Coast (S),Government,144,176,32,
Darnum Primary School,82%,Primary,Darnum,Baw Baw (S),Government,163,199,36,
Yackandandah Primary School,82%,Primary,Yackandandah,Indigo (S),Government,185,225,41,
Ararat West Primary School,82%,Primary,Ararat,Ararat (RC),Government,246,300,54,
Riddells Creek Primary School,82%,Primary,Riddells Creek,Macedon Ranges (S),Government,288,351,63,
Bell Park North Primary School,82%,Primary,Bell Park,Greater Geelong (C),Government,268,327,59,
Tooradin Primary School,82%,Primary,Tooradin,Casey (C),Government,309,376,68,
Kyneton Primary School,82%,Primary,Kyneton,Macedon Ranges (S),Government,328,400,72,
Keelonith Primary School,82%,Primary,Greenvale,Hume (C),Government,330,402,72,
Sunbury Primary School,82%,Primary,Sunbury,Hume (C),Government,371,452,81,
Rye Primary School,82%,Primary,Rye,Mornington Peninsula (S),Government,388,473,85,
Pakenham Primary School,82%,Primary,Pakenham,Cardinia (S),Government,373,455,82,
Barwon Heads Primary School,82%,Primary,Barwon Heads,Greater Geelong (C),Government,472,576,104,
Whittlesea Primary School,82%,Primary,Whittlesea,Whittlesea (C),Government,428,522,94,
Pakenham Hills Primary School,82%,Primary,Pakenham,Cardinia (S),Government,410,500,90,
Avondale Primary School,82%,Primary,Avondale Heights,Moonee Valley (C),Government,437,533,96,
Wandong Primary School,82%,Primary,Wandong,Mitchell (S),Government,469,572,103,
Aspendale Primary School,82%,Primary,Aspendale,Kingston (C),Government,553,675,121,
Swan Hill Primary School,82%,Primary,Swan Hill,Swan Hill (RC),Government,517,630,113,
Malvern Primary School,82%,Primary,Malvern East,Stonnington (C),Government,561,684,123,
Leongatha Primary School,82%,Primary,Leongatha,South Gippsland (S),Government,619,754,136,
Thomas Mitchell Primary School,82%,Primary,Endeavour Hills,Casey (C),Government,694,846,152,
Heathmont College,82%,Secondary,Heathmont,Maroondah (C),Government,695,847,153,
Yarraville West Primary School,82%,Primary,Yarraville,Maribyrnong (C),Government,738,900,162,
Sunbury Downs Secondary College,82%,Secondary,Sunbury,Hume (C),Government,662,808,145,
McKinnon Primary School,82%,Primary,Ormond,Glen Eira (C),Government,797,972,175,
Hillsmeade Primary School,82%,Primary,Narre Warren South,Casey (C),Government,821,1001,180,
South Oakleigh Secondary College,82%,Secondary,Oakleigh South,Monash (C),Government,778,949,171,
Carrum Downs Secondary College,82%,Secondary,Carrum Downs,Frankston (C),Government,886,1080,194,
Lakeview Senior College,82%,Secondary,Caroline Springs,Melton (C),Government,955,1165,210,
Mooroolbark College,82%,Secondary,Mooroolbark,Yarra Ranges (S),Government,1027,1253,225,
Mildura Senior College,82%,Secondary,Mildura,Mildura (RC),Government,929,1133,204,
Keysborough Secondary College,82%,Secondary,Springvale South,Greater Dandenong (C),Government,2005,2445,440,
Nagambie Primary School,81%,Primary,Nagambie,Strathbogie (S),Government,162,200,38,
Seaford Primary School,81%,Primary,Seaford,Frankston (C),Government,203,251,48,
St Albans Primary School,81%,Primary,St Albans,Brimbank (C),Government,293,362,69,
Romsey Primary School,81%,Primary,Romsey,Macedon Ranges (S),Government,324,400,76,
Sunshine Heights Primary School,81%,Primary,Sunshine,Brimbank (C),Government,348,430,82,
Brunswick North West Primary School,81%,Primary,Brunswick West,Moreland (C),Government,390,481,91,
Traralgon (Stockdale Road) Primary School,81%,Primary,Traralgon,Latrobe (C),Government,487,601,114,
Kensington Primary School,81%,Primary,Kensington,Melbourne (C),Government,448,553,105,
Oakleigh Primary School,81%,Primary,Oakleigh,Monash (C),Government,449,555,105,
Footscray City Primary School,81%,Primary,Footscray,Maribyrnong (C),Government,470,580,110,
Kurunjang Primary School,81%,Primary,Melton,Melton (C),Government,565,698,133,
Aspendale Gardens Primary School,81%,Primary,Aspendale Gardens,Kingston (C),Government,612,756,144,
Willmott Park Primary School,81%,Primary,Craigieburn,Hume (C),Government,688,850,161,
Beaconsfield Primary School,81%,Primary,Beaconsfield,Cardinia (S),Government,648,800,152,
Upper Yarra Secondary College,81%,Secondary,Yarra Junction,Yarra Ranges (S),Government,689,851,162,
Pearcedale Primary School,81%,Primary,Pearcedale,Casey (C),Government,767,947,180,
Mernda Primary School,81%,Primary,Mernda,Whittlesea (C),Government,935,1154,219,
Springside Primary School,81%,Primary,Caroline Springs,Melton (C),Government,855,1056,201,
Berwick Primary School,81%,Primary,Berwick,Casey (C),Government,975,1204,229,
Bairnsdale Secondary College,81%,Secondary,Bairnsdale,East Gippsland (S),Government,1133,1398,266,
Edgars Creek Secondary College,81%,Secondary,Wollert,Whittlesea (C),Government,1205,1488,283,
Minyip Primary School,80%,Primary,Minyip,Yarriambiack (S),Government,40,50,10,
Gordon Primary School,80%,Primary,Gordon,Moorabool (S),Government,120,150,30,
Yarra Glen Primary School,80%,Primary,Yarra Glen,Yarra Ranges (S),Government,181,226,45,
San Remo Primary School,80%,Primary,San Remo,Bass Coast (S),Government,180,225,45,
Reservoir Views Primary School,80%,Primary,Reservoir,Darebin (C),Government,248,310,62,
Reservoir East Primary School,80%,Primary,Reservoir,Darebin (C),Government,242,303,61,
Newington Primary School,80%,Primary,Ballarat,Ballarat (C),Government,299,374,75,
Niddrie Primary School,80%,Primary,Niddrie,Moonee Valley (C),Government,320,400,80,
Rollins Primary School,80%,Primary,Bell Post Hill,Greater Geelong (C),Government,311,389,78,
Amsleigh Park Primary School,80%,Primary,Oakleigh East,Monash (C),Government,343,429,86,
Cranbourne South Primary School,80%,Primary,Cranbourne South,Casey (C),Government,321,401,80,
Ballarat North Primary School,80%,Primary,Ballarat,Ballarat (C),Government,358,448,89,
Hallam Primary School,80%,Primary,Hallam,Casey (C),Government,381,476,95,
Trafalgar Primary School,80%,Primary,Trafalgar,Baw Baw (S),Government,358,448,89,
Keilor Views Primary School,80%,Primary,Keilor Downs,Brimbank (C),Government,400,500,100,
Meadowglen Primary School,80%,Primary,Epping,Whittlesea (C),Government,480,600,120,
Parktone Primary School,80%,Primary,Parkdale,Kingston (C),Government,502,627,125,
Camberwell South Primary School,80%,Primary,Glen Iris,Boroondara (C),Government,438,548,110,
Westgarth Primary School,80%,Primary,Northcote,Darebin (C),Government,562,702,140,
Coburn Primary School,80%,Primary,Melton South,Melton (C),Government,622,778,156,
Merbein P-10 College,80%,Pri/Sec,Merbein,Mildura (RC),Government,658,823,165,
Truganina South Primary School,80%,Primary,Truganina,Wyndham (C),Government,685,856,171,
Apollo Parkways Primary School,80%,Primary,Greensborough,Nillumbik (S),Government,677,846,169,
Mount Waverley Primary School,80%,Primary,Mount Waverley,Monash (C),Government,802,1003,201,
Camberwell High School,80%,Secondary,Canterbury,Boroondara (C),Government,943,1178,236,
Ballarat High School,80%,Secondary,Ballarat,Ballarat (C),Government,1462,1828,366,
Chewton Primary School,79%,Primary,Chewton,Mount Alexander (S),Government,59,75,16,
Dunolly Primary School,79%,Primary,Dunolly,Central Goldfields (S),Government,79,100,21,
Grasmere Primary School,79%,Primary,Grasmere,Moyne (S),Government,98,124,26,
Traralgon South Primary School,79%,Primary,Traralgon South,Latrobe (C),Government,118,149,31,
Anglesea Primary School,79%,Primary,Anglesea,Surf Coast (S),Government,157,199,42,
Beechworth Primary School,79%,Primary,Beechworth,Indigo (S),Government,178,225,47,
Hamilton (Gray Street) Primary School,79%,Primary,Hamilton,Southern Grampians (S),Government,256,324,68,
Golden Square Primary School,79%,Primary,Golden Square,Greater Bendigo (C),Government,314,397,83,
Caulfield Primary School,79%,Primary,Caulfield South,Glen Eira (C),Government,295,373,78,
Noble Park Primary School,79%,Primary,Noble Park,Greater Dandenong (C),Government,331,419,88,
Newborough East Primary School,79%,Primary,Newborough,Latrobe (C),Government,337,427,90,
Highvale Primary School,79%,Primary,Glen Waverley,Monash (C),Government,338,428,90,
Huntingdale Primary School,79%,Primary,Oakleigh South,Monash (C),Government,380,481,101,
Lucas Primary School,79%,Primary,Lucas,Ballarat (C),Government,357,452,95,
Greenhills Primary School,79%,Primary,Greensborough,Banyule (C),Government,497,629,132,
Caulfield South Primary School,79%,Primary,Caulfield South,Glen Eira (C),Government,474,600,126,
Lucknow Primary School,79%,Primary,Eastwood,East Gippsland (S),Government,492,623,131,
Banyan Fields Primary School,79%,Primary,Carrum Downs,Frankston (C),Government,612,775,163,
Roxburgh Rise Primary School,79%,Primary,Roxburgh Park,Hume (C),Government,668,845,178,
Essendon Keilor College,79%,Secondary,Keilor East,Moonee Valley (C),Government,636,805,169,
Surf Coast Secondary College,79%,Secondary,Torquay,Surf Coast (S),Government,894,1132,238,
Sandringham College,79%,Secondary,Sandringham,Bayside (C),Government,1011,1280,269,
Roxburgh College,79%,Secondary,Roxburgh Park,Hume (C),Government,1125,1424,299,
Bendigo South East 7-10 Secondary College,79%,Secondary,Bendigo,Greater Bendigo (C),Government,1229,1556,327,
Wilandra Rise Primary School,79%,Primary,Clyde North,Casey (C),Government,1136,1438,302,
Bendigo Senior Secondary College,79%,Secondary,Bendigo,Greater Bendigo (C),Government,1652,2091,439,
Cohuna Consolidated School,78%,Primary,Cohuna,Gannawarra (S),Government,157,201,44,
Creswick Primary School,78%,Primary,Creswick,Hepburn (S),Government,176,225,50,
Kialla West Primary School,78%,Primary,Kialla West,Greater Shepparton (C),Government,197,253,56,
Gembrook Primary School,78%,Primary,Gembrook,Cardinia (S),Government,252,323,71,
Ballan Primary School,78%,Primary,Ballan,Moorabool (S),Government,234,300,66,
Harrisfield Primary School,78%,Primary,Noble Park,Greater Dandenong (C),Government,257,329,72,
Wantirna South Primary School,78%,Primary,Wantirna South,Knox (C),Government,293,376,83,
Mirboo North Primary School,78%,Primary,Mirboo North,South Gippsland (S),Government,310,398,88,
Spensley Street Primary School,78%,Primary,Clifton Hill,Yarra (C),Government,311,399,88,
Yea High School,78%,Secondary,Yea,Murrindindi (S),Government,330,423,93,
Brunswick South Primary School,78%,Primary,Brunswick East,Moreland (C),Government,319,409,90,
Glenroy West Primary School,78%,Primary,Glenroy,Moreland (C),Government,323,414,91,
Warrnambool Primary School,78%,Primary,Warrnambool,Warrnambool (C),Government,388,498,110,
St Albans East Primary School,78%,Primary,St Albans,Brimbank (C),Government,393,504,111,
Black Hill Primary School,78%,Primary,Ballarat,Ballarat (C),Government,429,550,121,
Mornington Primary School,78%,Primary,Mornington,Mornington Peninsula (S),Government,485,622,137,
Guthrie Street Primary School Shepparton,78%,Primary,Shepparton,Greater Shepparton (C),Government,469,601,132,
Williamstown North Primary School,78%,Primary,Williamstown,Hobsons Bay (C),Government,671,860,189,
Laburnum Primary School,78%,Primary,Blackburn,Whitehorse (C),Government,693,888,195,
Elwood College,78%,Secondary,Elwood,Port Phillip (C),Government,813,1042,229,
Cranbourne East Primary School,78%,Primary,Cranbourne East,Casey (C),Government,1043,1337,294,
Bayside P-12 College,78%,Pri/Sec,Williamstown,Hobsons Bay (C),Government,1047,1342,295,
Hampton Park Secondary College,78%,Secondary,Hampton Park,Casey (C),Government,1168,1497,329,
Blackburn High School,78%,Secondary,Blackburn,Whitehorse (C),Government,1247,1599,352,
Copperfield College,78%,Secondary,Delahey,Brimbank (C),Government,1889,2422,533,
Mount Blowhard Primary School,77%,Primary,Blowhard,Ballarat (C),Government,77,100,23,
Loch Primary School,77%,Primary,Loch,South Gippsland (S),Government,134,175,40,
Portarlington Primary School,77%,Primary,Portarlington,Greater Geelong (C),Government,213,277,64,
Nar Nar Goon Primary School,77%,Primary,Nar Nar Goon,Cardinia (S),Government,193,250,58,
Sunshine Primary School,77%,Primary,Sunshine,Brimbank (C),Government,214,278,64,
Belgrave South Primary School,77%,Primary,Belgrave South,Yarra Ranges (S),Government,347,451,104,
Mandama Primary School,77%,Primary,Grovedale,Greater Geelong (C),Government,368,478,110,
Warranwood Primary School,77%,Primary,Warranwood,Maroondah (C),Government,426,553,127,
Deer Park West Primary School,77%,Primary,Deer Park,Brimbank (C),Government,416,540,124,
Ringwood North Primary School,77%,Primary,Ringwood North,Maroondah (C),Government,443,575,132,
Epsom Primary School,77%,Primary,Epsom,Greater Bendigo (C),Government,422,548,126,
Dromana Primary School,77%,Primary,Dromana,Mornington Peninsula (S),Government,462,600,138,
Malvern Central School,77%,Primary,Malvern,Stonnington (C),Government,502,652,150,
Maffra Secondary College,77%,Secondary,Maffra,Wellington (S),Government,556,722,166,
Melton Primary School,77%,Primary,Melton,Melton (C),Government,542,704,162,
